Badanie;Placówka;Cena
RNA WIRUSA SARS-COV-2 (WYMAZ, METODA PCR, COVID) WYNIK W JĘZYKU ANGIELSKIM;Świdwin, ul. Gagarina 71;314.0
MONITOROWANIE TERAPII LEKAMI: LEKI PRZECIWPADACZKOWE-4, LC-MS/MS;Kraków, ul. Trybuny Ludów 25 lok U1;321.0
P/C PRZECIW MITOCHONDRIALNE (AMA) (O05);Bełchatów, ul. Grota Roweckiego 23;103.0
SIARCZAN DEHYDROEPIANDROSTENDIONU (DHEA-S) (K27);Krotoszyn, ul. Piastowska 6;76.0
REQU C 1 KOŃ (E-227) IGE SWOISTE (L91);Szczecin, ul. Milczańska 7K;61.0
CZOSNEK ŚWIEŻY(F47) - IGE SWOISTE (L91);Warszawa, ul. Żegańska 48;61.0
BABESIA MICROTI – P/C IGG;Warszawa, ul. Belgradzka 4 lok 5U;323.0
MIĘSO KRÓLIKA(F213) - IGE SWOISTE (L91);Mysłowice, ul. Ziętka 61C;61.0
BERYL;Szczecin, ul. Hrubieszowska 22A;176.0
ROZTOCZE MĄCZNE (D2) - IGE SWOISTE (L91);Głogów, ul. Gwiaździsta 19;65.0
SINEQUAN (DOKSEPINA);Białystok, ul. Rzemieślnicza 40;133.0
MIESZANKA PIÓR PTAKÓW (EX72) - IGE SWOISTE (L91);Łódź, ul. Felińskiego 7;69.0
RAK(F320) - IGE SWOISTE (L91);Białystok, ul. Al. Tysiąclecia Państwa Polskiego 10;57.0
P/C PRZECIWKO SCHISTOSOMA MANSONI IGG (PRZYWRA) (X27);Warszawa, ul. Kondratowicza 27b;400.0
HELICOBACTER PYLORI - P/C IGA (U07);Kraków, ul. Chmieleniec 16/53;113.0
WITAMINA 25(OH)D2/D3 METODĄ HPLC;Częstochowa, ul. Dekabrystów 33 p. 9;106.0
P/C PRZECIW KOMÓRKOM PURKINJEGO (ANTY-TR);Giżycko, ul. Olsztyńska 15a;231.0
PRZECIWCIAŁA PRZECIW WIRUSOWI ODRY (MEASLES VIRUS) IGG (F96);Gdańsk, ul. Grudziądzka 4A/101;63.0
P/C PRZECIW DFS70;Jabłonna, ul. Zegrzyńska 20 lok 5;167.0
CITALOPRAM;Łomianki, ul. Warszawska 164;210.0
KLOMIPRAMINA  W MOCZU (T35);Łódź, ul. Zgierska 1;161.0
ECSTASY (MDMA);Rzeszów, ul. Ślusarczyka 2;62.0
BIAŁKO W DOBOWEJ ZBIÓRCE MOCZU (A07);Płock, ul. Kolegialna 43A;19.0
JĘCZMIEŃ (F6) - IGE SWOISTE (L91);Rzeszów, ul. Litewska 29;63.0
APOLIPOPROTEINA A2 (APO A2) (I73);Bydgoszcz, ul. Szafirowa 14;130.0
WIERZBA (T12) - IGE SWOISTE (L91);Nowy Dwór Gdański, ul. Dworcowa 11;62.0
KWAS ACETYLOSALICYLOWY (C51) IGE SWOISTE (L91);Oborniki Śląskie, ul. M.C. Skłodowskiej 31/I;61.0
PANEL ALERGENÓW - EGZEMA - 10 ALERGENÓW METODĄ POLYCHECK;Warszawa, ul. Marszałkowska 83;189.0
P/C PRZECIW YERSINIA ENTEROCOLITICA IGG – MET. WESTERN BLOT (U95);Brzeg Dolny, ul. Ossolińskiego 2D;266.0
KLESZCZOWE ZAPALENIE OPON MÓZGOWYCH - P/C IGM (F85);Poddębice, ul. Mickiewicza 16;192.0
P/C PRZECIW CYKLICZNEMU CYTRULINOWANEMU PEPTYDOWI 3 (ACCP) (N66);Ostrołęka, ul. gen. Ignacego Prądzyńskiego 4;109.0
CANDIDA ALBICANS (M5) – IGE SWOISTE (L91);Chełm, ul. Partyzantów 1;63.0
FOSFOR NIEORGANICZNY W MOCZU ZE ZBIÓRKI DOBOWEJ (L23);Oława, ul. Kutrowskiego 41;22.0
HORMON WZROSTU (HGH) (L71);Warszawa, ul. Zawodzie  22;59.0
ILOŚCIOWE OZNACZANIE DNA ADENOWIRUSA METODĄ REAL TIME PCR;Poznań, ul. Piątkowska 84B;279.0
PANEL METABOLITÓW WIT. B;Bełchatów, ul. Grota Roweckiego 23;485.0
TRIGLICERYDY (O49);Gorzów Wielkopolski, ul. Matejki 57/U4;16.0
RCYP C 1 KARP (F-355) IGE SWOISTE (L91);Warszawa, ul. Przy Agorze 26;61.0
ŻELAZO W SUROWICY (O95);Poznań, ul. 28 czerwca 1956 r.  194;24.0
AWOKADO (F96) - IGE SWOISTE (L91);Oborniki Śląskie, ul. M.C. Skłodowskiej 31/I;60.0
RJUG R 1 ORZECH WŁOSKI (F-441) IGE SWOISTE (L91);Tuchola, ul. Nowodworskiego 14/18;61.0
ENTEROWIRUS - P/C IGM (F28);Chełm, ul. Słowackiego 33;126.0
GUMA ARABSKA (F297) IGE SWOISTE (L91);Szczecin, ul. Wyzwolenia 29;71.0
PRZECIWCIAŁA PRZECIW WIRUSOWI ODRY (MEASLES VIRUS) IGM (F97);Łańcut, ul. Paderewskiego 3D;66.0
BEZWODNIK FTALOWY (K79) - IGE SWOISTE (L91);Hajnówka, ul. 3 Maja 10;64.0
P/C PRZECIWKO RECEPTOROWI INSULINY;Myszków, ul. Pułaskiego 26;132.0
HOMAR (F80) - IGE SWOISTE (L91);Płock, ul. Kolegialna 43A;78.0
PRAMOLAN (OPIPRAMOL);Gdańsk, ul. Świętokrzyska 25;193.0
P/C PRZECIW GIARDIA LAMBLIA IGM;Świecie, ul. Jana III Sobieskiego 2;92.0
MALARIA - P/C IGG + IGM;Barlinek, ul. Niepodległości 25;274.0
POMARAŃCZA (F33) - IGE SWOISTE (L91);Warszawa, ul. Przykoszarowa 16;61.0
PANEL MIKROELEMENTÓW HITECH 2;Piotrków Trybunalski, ul. Dmowskiego 38;841.0
SOSNA (T16) - IGE SWOISTE (L91);Bełchatów, ul. Czapliniecka 93/95;61.0
P/C PRZECIW MYCOPLASMA PNEUMONIAE IGG - MET WESTERN BLOT;Człuchów, ul. Królewska 24;240.0
CERULOPLAZMINA (I95);Luboń, ul. Poniatowskiego 22;110.0
OWIES (F7) - IGE SWOISTE (L91);Człuchów, ul. Królewska 24;54.0
PRODUKTY PEROKSYDACJI LIPIDÓW PEROX;Warszawa, ul. Kasprzaka 17;213.0
ALDOLAZA (I13);Zamość, ul. Piłsudskiego 35;56.0
RPRU P 3 LTP  BRZOSKWINIA (F-420) IGE SWOISTE (L91);Dobiegniew, ul. Mickiewicza 3;58.0
GONADOTROPINA KOSMÓWKOWA (B-HCG) MARKER NOWOTWOROWY (L47);Kutno, ul. Sowińskiego 1;48.0
RPHL P 2  TYMOTKA ŁĄKOWA (G-206) IGE SWOISTE (L91);Bydgoszcz, ul. Żwirki i Wigury 54X lok U 16;61.0
C4 SKŁADNIK DOPEŁNIACZA (K77);Konin, ul. Kolejowa 11;101.0
RPHL 5B TYMOTKA ŁĄKOWA (G-215) IGE SWOISTE (L91);Lubartów, ul. Słowackiego 1/5;63.0
FOODPROFIL WEGE;Głogów Małopolski, ul. W. Sławka 2;1855.0
HLA-B*27 – BADANIE OBECNOŚCI PODTYPU GENU HLA-B - HLA-B*27 (ZESZTYWNIAJĄCE ZAPALENIA STAWÓW I INNE CHOROBY AUTOIMMUNOLOGICZNE) METODĄ MIKROMACIERZY;Gdańsk, ul. Świętokrzyska 25;167.0
PIÓRA PAPUŻKI FALISTEJ (E78) - IGE SWOISTE (L91);Pasłęk, ul. Chrobrego 25;62.0
FRETKA (E217) - IGE SWOISTE (L91);Łomża, ul. Kazańska 2;69.0
DOKSEPINA (T19);Wejherowo, ul. Jana III Sobieskiego 281;68.0
POSIEW Z DRÓG MOCZOWO-PŁCIOWYCH - TLENOWO (91.831);Wrocław, ul. Bierutowska 63;78.0
POSIEW W KIERUNKU SALMONELLA SHIGELLA (91.831);Wrocław, ul. Nowodworska 91A;64.0
FENOTIAZYNY (P81);Łódź, ul. Turoszowska 4a;97.0
FENOBARBITAL (T25);Nysa, ul. Wrocławska 8/u2;153.0
NASP O 21 ALFA- AMYLAZA (K-87) IGE SWOISTE (L91);Gołdap, ul. Słoneczna 9;61.0
OPIATY W MOCZU TEST PÓŁILOŚCIOWY;Wrocław, ul. Armii Krajowej 10/2;41.0
P/C PRZECIW MIĘŚNIOM POPRZECZNIE PRĄŻKOWANYM (N93);Kielce, ul. Kościuszki 25E;145.0
BORELIOZA - P/C IGG (S21);Siemiatycze, ul. Szpitalna 8;68.0
TRIAZOLAM;Olsztyn, ul. Janowicza 3i;212.0
ALKOHOL ETYLOWY (P31);Zgorzelec, ul. Wyspiańskiego 53A;60.0
CYTRYNA (F32) - IGE SWOISTE (L91);Poznań, ul. Dąbrowskiego 89;61.0
WYKRYWANIE FUSARIUM OXYPORUM-DNA, METODA PCR;Radom, ul. 1905 roku 20;478.0
DOPALACZE (SPICE/K2);Jabłonna, ul. Zegrzyńska 20 lok 5;138.0
GLUKOZA (L43);Elbląg, ul. 3 maja 12-14;11.0
MONITOROWANIE TERAPII LEKAMI: LEKI ANTYARYTMICZNE, LC-MS/MSA;Siedlce, ul. Starowiejska 66;321.0
P/C PRZECIW JO - 1;Strzegom, ul. Dąbrowskiego 29/4;98.0
ZONULINA;Kraków, ul. Basztowa 15;369.0
POSIEW WYMAZU Z RANY - TLENOWO (91.831);Leżajsk, ul. Rynek 14;48.0
NARKOTYKI W MOCZU ZESTAW (AMP, COC, THC, BZO, MOP);Dębno, ul. Kościuszki 58;67.0
AMYLAZA W SUROWICY (I25);Jelcz-Laskowice, ul. Bożka 11;20.0
ALFA-2-MAKROGLOBULINA W DZM (M91);Warszawa, ul. Targowa 70/2;161.0
IGFBP-3;Zamość, ul. Piłsudskiego 35;152.0
JAD KOMARA (I71) - IGE SWOISTE (L91);Piastów, ul. Warszawska 43;61.0
TEST KWASOWO-ZASADOWY WEDŁUG SANDERA;Sulechów, ul. Styczniowa 33;290.0
P/C PRZECIW ENDOMYSIUM IGA (N79);Dobiegniew, ul. Mickiewicza 3;130.0
CHOLESTEROL LDL BEZPOŚREDNI ZMIERZONY (K03);Brzeg Dolny, ul. Ossolińskiego 2D;33.0
NORDOKSEPINA;Kostrzyn, ul. Warszawska 4a;161.0
WYKRYWANIE  RNA WIRUSA GRYPY TYPU A I/LUB B ORAZ TYPOWANIE W KIERUNKU GRYPY A/H1N1VMETODĄ REAL TIME-PCR.;Lublewo Gdańskie, ul. Wybickiego 67;355.0
ATOMOKSETYNA;Ostrów Mazowiecka, ul. Lubiejewska 10/3;210.0
WYKRYWANIE DNA LEISHMANIA DONOVANI;Sokołów Małopolski, ul. Rynek 42;555.0
P/C PRZECIW  COXSACKIE  W KLASIE IGA;Warszawa, ul. Branickiego 10;97.0
PRZECIWCIAŁA PRZECIWKO ANTYGENOM MÓŻDŻKU MET. IF;Giżycko, ul. Olsztyńska 15a;392.0
P/C PRZECIW YERSINIA ENTEROCOLITICA IGG MET.ELISA (U94);Szczecinek, ul. Kilińskiego 7;116.0
BIZMUT W SUROWICY;Szczecin, ul. Łubinowa 75;176.0
PANEL ALVEOLITIS ALLERGICA (DZIECI);Sławków, ul. Piekarska 6;452.0
PIÓRA KURZE (E85) - IGE SWOISTE (L91);Płock, ul. Miodowa 1;68.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA JCV METODĄ REAL TIME-PCR;Bydgoszcz, ul. Lenartowicza 33-35;199.0
ALTERNARIA ALTERNATA (M6) - IGE SWOISTE (L91);Rybnik, ul. Mościckiego 4;61.0
P/C PRZECIW DWUNICIOWEMU DNA (DSDNA) (N75);Warszawa, ul. Głębocka 88 lok 1U;75.0
BADANIE 4 NAJCZĘSTSZYCH MUTACJI W GENIE APC (C.1500T>A(Y500X), C.3183_3187DELACAAA, C.3202_3205DELTCAA, C.3927_3931DELAAAGA) - PIERWSZY ETAP PROCEDURY DIAGNOSTYCZNEJ;Kartuzy, ul. Gdańska 14;630.0
KLON (T1) - IGE SWOISTE (L91);Malbork, ul. Dworcowa 15;61.0
VARICELLA ZOSTER - P/C IGG W SUROWICY (OSPA I PÓŁPASIEC) (V68);Białogard, ul. Lindego 26/1;82.0
ALDOSTERON (I15);Dębica, ul. Kolejowa 15a;66.0
WYKRYWANIE RNA WIRUSA RUBELLA METODĄ REAL TIME-PCR;Poznań, ul. Stróżyńskiego 11/36;252.0
CAŁKOWITA ZDOLNOŚĆ WIĄZANIA ŻELAZA (TIBC) (O93);Dobiegniew, ul. Mickiewicza 3;29.0
WYKRYWANIE MUTACJI WIRUSA HBV WARUNKUJĄCYCH POWSTANIE OPORNOŚCI NA LAMIWUDYNĘ   ( OBECNIE : WIRUS ZAP. WĄTROBY TYPU B OPORNOŚĆ NA LAMIWUDYNĘ);Koszalin, ul. Spasowskiego 1D;506.0
LEWETYRACETAM;Gorzów Wielkopolski, ul. Mostowa 12;450.0
P/C PRZECIW DEAMIDOWANYM PEPTYDOM GLIADYNY IG G (N81);Warszawa, ul. Rembrandta 2 lok U11;124.0
LEWOMEPROMAZYNA;Bolesławiec, ul. Chopina 7;218.0
5 - NUKLEOTYDAZA (N23);Brodnica, ul. Wyspiańskiego 10;782.0
RSV - P/C IGG (V16);Rzeszów, ul. Lubelska 13;184.0
P/C PRZECIW GLIADYNIE I TRANSGLUTAMINAZIE TKANKOWEJ W KLASACH IGA I IGG;Staszów, ul. Krakowska 49;1637.0
BROKUŁ(F260) - IGE SWOISTE (L91);Gdańsk, ul. Stryjewskiego 27;61.0
OZNACZANIE ODSETKA RETIKULOCYTÓW (C69);Kościerzyna, ul. Jeziorna 2B;17.0
FASOLA ZIELONA (F315) - IGE SWOISTE (L91);Tarnobrzeg, ul. Mickiewicza 34;53.0
P/C PRZECIW CAMPYLOBACTER JEJUNI – IGG, IGA I IGM;Bełżyce, ul. Lubelska 90;490.0
TOPOLA (T14) - IGE SWOISTE (L91);Katowice, ul. Panewnicka 65;61.0
ORGANIX NEURO KOMPLEKSOWY TEST NEUROORGANICZNY;Szczecin, ul. Witkiewicza 58/U3;711.0
ATYPOWE P/C PRZECIWKO CYTOPLAZMIE NEUTROFILI;Szczecin, ul. Bandurskiego 95;122.0
NGAL D3 CONALBUMINA (F323) - IGE SWOISTE (L91);Rogowiec, ul. Św. Barbary 8;61.0
PANEL HORMONY MĘSKIE ŚLINA PODSTAWOWY;Pasłęk, ul. Chrobrego 25;334.0
MONITOROWANIE TERAPII LEKAMI: BENZODIAZEPINY, LC-MS/MS;Świnoujście, pl. Słowiański 6/3;478.0
NASKÓREK OWCY (E81) - IGE SWOISTE (L91);Zgorzelec, ul. Wyspiańskiego 53A;62.0
ERYTROPOETYNA (K91);Rypin, ul. Nowy Rynek 16 G;125.0
SALICYLANY W SUROWICY (P91);Toruń, ul. Łyskowskiego 8;92.0
WITAMINA K;Zgierz, ul. 1 Maja 37;345.0
METALOPROTEINAZA ADAMTS-13 (AKTYWNOŚĆ);Jędrzejów, ul. Daszyńskiego 3;264.0
TEST ROMA;Wrocław, ul. Kamieńskiego 227/U3;179.0
RPEN A 1 KREWETKA (F351) IGE SWOISTE (L91);Oborniki Śląskie, ul. M.C. Skłodowskiej 31/I;61.0
RARA H 2 ORZECH ZIEMNY (F-423) IGE SWOISTE (L91);Legnica, ul. Złotoryjska 66;61.0
MYCOPLASMA PNEUMONIAE P/C IGA (U39);Poznań, ul. Katowicka 89A/101;113.0
WYKRYWANIE DNA TRYPANOSOMA BRUCEI;Warszawa, ul. Górskiego 6;832.0
CHROM W MOCZU (P19);Warszawa, ul. Wrocławska 21a;169.0
ORZECH PISTACJOWY (F203) - IGE SWOISTE (L91);Zduńska Wola, ul. Szadkowska 27D;61.0
PANEL ALERGENÓW POKARMOWYCH III - 10 ALERGENÓW METODĄ POLYCHECK (L91);Kielce, ul. Jagiellońska 62C;165.0
CHLORPROTEXEN - BADANIE JAKOŚCIOWE W MOCZU;Koło, ul. Ks. Józefa Poniatowskiego 25;92.0
P/C PRZECIW SERCOWE (N95);Barcin, ul. Mogileńska 5;202.0
HIPERCHOLESTEROLEMIA – ANALIZA PRZESIEWOWA SEKWENCJI KODUJĄCEJ GENÓW LDLR, APOB, PCSK9, LDLRAP1, APOE, STAP1  (HIPERCHOLESTEROLEMIA) METODĄ NGS;Pabianice, ul. Kilińskiego 10/12;3292.0
NAGALAZA;Toruń, ul. Szosa Lubicka 11;718.0
TEOFILINA (T55);Wrocław, ul. Racławicka 2;155.0
CMV WIRUS CYTOMEGALII PRZECIWCIAŁA IGG (F19);Rogoźno, ul. Wojska Polskiego 4a;64.0
OPIATY I OPIOIDY, LC-MS/MS;Wrocław, ul. Stabłowicka 125;378.0
PANEL HERPESWIRUSY. WYKRYWANIE OBECNOŚCI DNA WIRUSÓW: EBV/CMV/HHV6/HSV1/HSV2 METODĄ REAL TIME-PCR.;Puławy, ul. Piłsudskiego 85;406.0
PARIETARIA LEKARSKA (W19) - IGE SWOISTE (L91);Chojnice, ul. Obrońców Chojnic 3;61.0
GLUTATION;Dzierżoniów, ul. Bohaterów Getta 5;316.0
P/C PRZECIW CHLAMYDII PSITTACI IGG;Płock, ul. Miodowa 1;370.0
MLEKO KROWIE (F2) - IGE SWOISTE (L91);Mielec, ul. Pisarka 3A/3;53.0
P/C ANTYKARDIOLIPINOWE KLASY IGG (N89);Lębork, ul. Węgrzynowicza 1;95.0
BRCA1 I BRCA2 – BADANIE MUTACJI GERMINALNYCH, W CAŁEJ SEKWENCJI KODUJĄCEJ GENÓW BRCA1 I BRCA2 (PREDYSPOZYCJA DO RAKA PIERSI, JAJNIKA, PROSTATY) METODĄ NGS;Ostrowiec Świętokrzyski, ul. 11 Listopada 3G;2059.0
APOLIPOPROTEINA B (APO B) (I67);Krosno, ul. Lniarska 12;91.0
RPAR J 2 LTP PARIETARIA LEKARSKA (W-211) IGE SWOISTE (L91);Gostynin, ul. Armii Krajowej 16;68.0
FENYTOINA MET. HPLC (T27);Gdańsk, ul. Balcerskiego 10;161.0
LORAZEPAM;Warszawa, ul. Górskiego 6;210.0
MONITOROWANIE TERAPII LEKAMI: ANTYPSYCHOTYKI (NEUROLEPTYKI)-1, LC-MS/MS;Nowy Sącz, ul. Długosza 9;459.0
TRANSFERYNA (O43);Radom, ul. Lekarska 2a;62.0
YERSINIA PRZECIWCIAŁA IGG (U87);Warszawa, ul. Kondratowicza 18;110.0
CZYNNIK REUMATOIDALNY RF IGA (K21);Krosno, ul. Lniarska 12;201.0
PANEL ALERGENÓW ATOPOWYCH - 20 ALERGENÓW METODĄ POLYCHECK (L91);Warszawa, ul. Puławska 52;239.0
NEOPTERYNA W MOCZU (N19);Jędrzejów, ul. Daszyńskiego 3;163.0
BABKA LANCETOWATA (W9) - IGE SWOISTE (L91);Ostrołęka, ul. Piłsudskiego 11;61.0
P/C PRZECIW B2 -GLIKOPROTEINIE-1 IGM;Ciechanów, ul. Ściegiennego 9;239.0
OLCHA (T2) - IGE SWOISTE (L91);Białogard, ul. Mickiewicza 6b;61.0
P/C PRZECIW KOMÓRKOM ŚRÓDBŁONKA NACZYŃ (AECA);Bielsko-Biała, ul. Kustronia 13;126.0
PALB2 – BADANIE 2 NAJCZĘSTSZYCH MUTACJI W POPULACJI POLSKIEJ (C.509_510DEL I C.172_175DEL) (PREDYSPOZYCJA DO RAKA PIERSI, JAJNIKA) METODĄ SEKWENCJONOWANIA SANGERA;Kraków, ul. Grzegórzecka 79c;288.0
P/C PRZECIW CHLAMYDII PSITTACI IGM;Warszawa, ul. Nowogrodzka 84/86;323.0
SULFONAMIDY - BADANIE JAKOŚCIOWE W MOCZU;Nysa, ul. Wrocławska 8/u2;90.0
DROŻDŻE BROWARNICZE (FF43) - IGE SWOISTE (L91);Warszawa, ul. Mołdawska 7;61.0
WYKRYW. KRWI UTAJ. W KALE (MET. IMMUNOCHEMICZNĄ) (A17);Szczecin, ul. Maciejkowa 64/2;30.0
HAPTOGLOBINA;Gdańsk, ul. Starowiejska 95;49.0
ALEX- PANEL 295 DIAGNOSTYKA MOLEKULARNA ALERGII;Świecie, ul. Wojska Polskiego 80;1302.0
ACETYLOKARNITYNA;Warszawa, ul. Poznańska 22;229.0
CHOROBA STARGARDTA ANALIZA SEKWENCJI GENÓW ABCA4, ELOVL4, CNGB, METODA NGS;Gdańsk, ul. Obrońców Wybrzeża 7;2900.0
CHOROBA WILSONA - IDENTYFIKACJA MUTACJI P.HIS1069GLN, C.3402DELC (3400DELC), P.THR977MET, P.ARG778GLY ORAZ INNYCH MUTACJI WYSTĘPUJĄCYCH W EKSONACH 8, 13, 14 I 15 GENU ATP7B;Gorlice, ul. Kościuszki 34A;450.0
KINAZA KREATYNOWA-IZOENZYM SERCOWY (CK-MB) AKTYWN. (M19);Biskupiec Pomorski, ul. Lipowa 7;58.0
P/C PRZECIW CANDIDA ALBICANS KLASY IGG;Dębica, ul. Krakowska 75B;201.0
P/C PRZECIW  COXSACKIE  W KLASIE IGM;Kraków, ul. Grzegórzecka 79c;160.0
HEV - P/C IGM MET. WESTERN - BLOT;Dębica, ul. Poddęby 6;306.0
HLA-C*06 – BADANIE OBECNOŚCI PODTYPU GENU HLA C -HLA-C*06 (ŁUSZCZYCA) METODĄ MIKROMACIERZY;Płońsk, ul. Wspólna 7;450.0
ARYPIPRAZOL;Bielawa, ul. Wolności 155A;210.0
KWASY ŻÓŁCIOWE W KALE (M53);Pruszcz Gdański, ul. Raciborskiego 1A;92.0
P/C PRZECIW SM;Warszawa, ul. Wrocławska 21a;121.0
RAK PIERSI I JAJNIKA- BADANIE NAJCZĘSTSZEJ MUTACJI (6174DELT) W GENIE BRCA2 ORAZ OKOŁO 150 MUTACJI RZADKICH;Płock, ul. Piłsudskiego 35;309.0
PANEL ALERGENÓW PEDIATRYCZNYCH - 30 ALERGENÓW METODĄ POLYCHECK (L91);Warszawa, ul. Wrocławska 21a;247.0
PANEL MIKROELEMENTÓW HITECH 1;Warszawa, ul. Kasprzaka 29 l. U110;978.0
WYKRYWANIE RNA METAPNEUMOWIRUSA METODĄ REAL TIME - PCR, JAKOŚCIOWO;Dębica, ul. Poddęby 6;147.0
P/C PRZECIWKO NUKLEOSOMOM;Opoczno, ul. Skłodowskiej-Curie 18/1;149.0
MIESZANKA PRZYPRAW (FX70) - IGE SWOISTE (L91);Pruszcz Gdański, ul. Raciborskiego 1A;69.0
KŁOSÓWKA WEŁNISTA (G13) - IGE SWOISTE (L91);Toruń, ul. Łyskowskiego 8;61.0
INHIBINA B;Świdwin, ul. Gagarina 71;294.0
POSIEW MOCZU (91.33);Chełm, ul. Słowackiego 33;50.0
MARCHEW (F31) - IGE SWOISTE (L91);Skarżysko-Kamienna, ul. Klonowa 11;51.0
IMMUNOGLOBULINA IGG PODKLASA IGG-1 (L93);Gorzów Wielkopolski, ul. Kosynierów Gdyńskich 50F;177.0
KRZTUSIEC - P/C IGG (BORDETELLA PERTUSSIS) (S07);Warszawa, ul. Puławska 52;110.0
P/C PRZECIW PROTEINAZIE 3 (C-ANCA, PR-3) (N69);Wrocław, ul. Vivaldiego 98;69.0
P/C PRZECIW RECEPTOROWI ACETYLOCHOLINY;Warszawa, ul. Samolotowa 9a;250.0
ANTY-MULLERIAN HORMON (AMH);Tarnobrzeg, ul. Piłsudskiego 5;226.0
MONITOROWANIE TERAPII LEKAMI: LEKI PRZECIWPADACZKOWE-1, HPLC/PDA;Nowy Sącz, ul. Jana Długosza 32a;383.0
WITAMINA K2 MK7;Płock, ul. Miodowa 1;239.0
SERTRALINA - BADANIE JAKOŚCIOWE W MOCZU;Bełchatów, ul. Czapliniecka 93/95;161.0
WYKRYWANIE DNA TREPONEMA PALLADIUM;Strzelce Krajeńskie, al. Piastów 3A;461.0
BAZYLIA (F269) - IGE SWOISTE (L91);Racibórz, ul. Bielska 2;63.0
HER-2 ONKOPROTEINA;Gdynia, ul. Karpińskiego 2;369.0
BIAŁKO CAŁKOWITE (I77);Sulechów, ul. Styczniowa 33;16.0
CA - 50;Kraków, ul. Trybuny Ludów 25 lok U1;161.0
FLUOR W SUROWICY (L09);Gniezno, ul. Grzybowo 29/1;124.0
CHLORPROTIKSEN;Żuromin, ul. Szpitalna 65;210.0
P/C PRZECIW KOMÓRKOM OKŁADZINOWYM ŻOŁĄDKA (N97);Lubaczów, ul. Konery 6;126.0
P/C PRZECIW BŁONIE PODST. KŁĘBKÓW NERKOWYCH (ANTY-GBM) (N67);Rydułtowy, ul. Bema 5a;154.0
SELEN W MOCZU (O31);Kraków, ul. Kościuszki 73;169.0
DEHYDROGENAZA BETA-HYDROKSYMAŚLANOWA (K45);Swarzędz, ul. Cieszkowskiego 100/102;29.0
PANEL ALERGENÓW POKARMOWYCH IV - 10 ALERGENÓW METODĄ POLYCHECK;Ropczyce, ul. Armii Krajowej 4;165.0
PANEL ALERGENÓW POKARMOWYCH - 20 ALERGENÓW METODĄ POLYCHECK (L91);Człuchów, ul. Królewska 24;239.0
WYKRYWANIE DNA BORDETELLA PERTUSSIS ORAZ BORDETELLA PARAPERTUSSIS;Międzyrzecz, ul. Zachodnia 1B;350.0
ALFA - FETOPROTEINA (AFP) (L07);Rzeszów, ul. Kwiatkowskiego 46A;54.0
TEST KIŁOWY (FTA, FTA-ABS);Bibice, ul. Warszawska 178;78.0
PANEL ALERGENÓW POKARMOWYCH -ORZECH ZIEMNY- 6 ALERGENÓW METODĄ POLYCHECK (L91);Warszawa, ul. Solec 81B Centrum Handlowe ARKADA;189.0
KIWI (F84) - IGE SWOISTE (L91);Tarnów, ul. Powstańców Warszawy 40;61.0
OGÓREK (F244) - IGE SWOISTE (L91);Łódź, ul. Krokusowa 3;61.0
P/C PRZECIW COXIELLA BURNETII (GORĄCZKA Q);Łódź, ul. Mokra 4;497.0
CHLAMYDIA PNEUMONIAE - P/C IGA (S63);Bielsko-Biała, ul. Kustronia 13;91.0
AMOXYCYLINA (C-6) - IGE SWOISTE (L91);Świnoujście, pl. Słowiański 6/3;61.0
OSTRYGA (F290) - IGE SWOISTE (L91);Rogowiec, ul. Św. Barbary 8;69.0
IMMUNOGLOBULINA IG M W SUROWICY (L95);Pruszków, ul. Armii Krajowej 46;50.0
P/C PRZECIW WIRUSOWI ZIKA (ZIKV) IGM;Wejherowo, ul. Rzeźnicka 1A/3;100.0
ALFA LAKTOALBUMINA (F76) - IGE SWOISTE (L91);Nysa, ul. Wrocławska 8/u2;59.0
CA 15-3 (I43);Rzeszów, ul. Kwiatkowskiego 46A;45.0
NT-PROBNP (N-TERMINALNY PROPEPT. NATRIURET. T.B) (N24);Nowy Sącz, ul. Lwowska 63;116.0
ANAPLAZMOZA (ZAKAŻENIE ANAPLASMA PHAGOCYTOPHILUM) - P/C IGM;Warszawa, ul. Poznańska 22;269.0
KADM W MOCZU (P43);Dobre Miasto, ul. Grunwaldzka 5;171.0
PARWOWIRUS B19  - P/C IGM I IGG (F35);Łódź, ul. Rydza Śmigłego 43A;269.0
FERRYTYNA (L05);Wrocław, ul. Nowodworska 91A;57.0
FOLIKULOTROPINA (FSH) (L65);Żuromin, ul. Szpitalna 65;41.0
P/C PRZECIW AKTYNIE (N91);Szczecin, ul. Felczaka 8B;124.0
PANEL ALERGENÓW ATOPOWYCH - 30 ALERGENÓW METODĄ POLYCHECK (L91);Szczecin, ul. Hrubieszowska 22A;247.0
RPRU P 4 PROFILIN BRZOSKWINIA (F-421) IGE SWOISTE (L91);Białystok, ul. 42 Pułku Piechoty 74A;57.0
MAGNEZ W MOCZU ZE ZBIÓRKI DOBOWEJ (M87);Łomianki, ul. Warszawska 164;26.0
P/C PRZECIW  SCL - 70;Lębork, ul. Węgrzynowicza 1;78.0
DESIALOWANE IZOFORMY TRANSFERYNY CDT METODĄ HPLC (O47);Szydłowiec, ul. Wschodnia 7;213.0
TOXOPLAZMOZA - MET. WESTERN BLOT (IGM);Kielce, ul. Jagiellońska 62C;271.0
